,Scott Road,Columbia,New Westminster,22nd Street,Edmonds,Royal Oak,Metrotown,Patterson,Joyce–Collingwood,29th Avenue,Nanaimo,Commercial–Broadway,Main Street–Science World,Stadium–Chinatown,Granville,Burrard,Waterfront,Lougheed Town Centre,Production Way–University,Braid,Sapperton,Gateway,Surrey Central,King George,Lincoln,Lafarge Lake–Douglas,Coquitlam Central,Inlet Centre,Moody Centre,Burquitlam,Lake City Way,Sperling–Burnaby Lake,Holdom,Brentwood Town Centre,Gilmore,Rupert,Renfrew,VCC–Clark,Aberdeen,Lansdowne,Richmond–Brighouse,Vancouver City Centre,Yaletown–Roundhouse,Olympic Village,Broadway–City Hall,King Edward,Oakridge-41st Avenue,Langara-49th Avenue,Marine Drive,Bridgeport,Templeton,Sea Island Centre,YVR–Airport
Scott Road,0,2465.183362,3081.0600012000004,5974.140308200001,7993.636709200001,10430.620405200001,11741.6226492,12526.0828653,14198.8836283,15422.8917903,16292.009195300001,18245.0285583,21008.324450300002,22072.1511533,22723.316778200002,23106.7767294,24008.647994900002,8298.204941,9969.353306,6189.034167000001,5066.344627,2308.770625,3433.635591,4268.9135972,18688.150626,19288.5384356,17818.597929,15804.685352,14520.073842,10235.714138,11518.646872000001,13419.758261,14876.403902000002,16345.039819000001,17250.218266300002,18878.748639300004,19786.962294700003,19087.9592176,36527.060196900005,37574.4227439,38293.3173274,24563.8180499,25636.6757459,26644.5305559,27073.3008487,28593.5029767,30501.5595537,31265.9561029,33117.6711779,34960.262548900006,36540.51474490001,37500.383133400006,38998.977435400004
Columbia,2465.183362,0,615.8766392,3508.9569462,5528.4533472,7965.4370432,9276.439287199999,10060.8995033,11733.700266299998,12957.708428299999,13826.825833299998,15779.845196299997,18543.1410883,19606.967791299998,20258.1334162,20641.593367399997,21543.4646329,5833.021579,7504.169944,3723.850805,2601.161265,4773.953987000001,5898.818953000001,6734.096959200001,16222.967264000003,16823.355073600003,15353.414567000003,13339.501990000002,12054.890480000002,7770.5307760000005,9053.46351,10954.574899,12411.220539999998,13879.856456999998,14785.034904299999,16413.5652773,17321.7789327,16622.775855599997,34061.876834899995,35109.23938189999,35828.13396539999,22098.634687899998,23171.492383899997,24179.347193899997,24608.117486699997,26128.319614699998,28036.376191699997,28800.772740899996,30652.487815899996,32495.079186899995,34075.331382899996,35035.199771399995,36533.79407339999
New Westminster,3081.0600012000004,615.8766392,0,2893.080307,4912.5767080000005,7349.560404,8660.562648,9445.0228641,11117.823627099999,12341.831789099999,13210.949194099998,15163.968557099997,17927.264449099996,18991.091152099994,19642.256776999995,20025.716728199994,20927.587993699995,6448.898218200001,8120.046583200001,4339.727444200001,3217.0379042000004,5389.830626200001,6514.695592200001,7349.973598400001,16838.843903200002,17439.231712800003,15969.291206200003,13955.378629200002,12670.767119200002,8386.407415200001,9669.340149200001,11570.4515382,13027.097179200002,14495.733096200001,15400.911543500002,17029.441916500004,17019.2570331,16006.899216399997,33446.00019569999,34493.36274269999,35212.257326199986,21482.758048699994,22555.615744699993,23563.470554699994,23992.240847499994,25512.442975499995,27420.499552499994,28184.896101699993,30036.611176699993,31879.20254769999,33459.45474369999,34419.32313219999,35917.91743419999
22nd Street,5974.1403082,3508.9569462,2893.080307,0,2019.496401,4456.480097,5767.482341,6551.9425571,8224.7433201,9448.7514821,10317.868887100001,12270.8882501,15034.1841421,16098.010845100001,16749.176470000002,17132.6364212,18034.507686700003,9341.9785252,11013.126890200001,7232.807751200001,6110.118211200001,8282.9109332,9407.775899200002,10243.053905400002,19731.9242102,20332.3120198,18862.3715132,16848.4589362,15563.8474262,11279.4877222,12562.420456200001,14463.531845200001,15920.177486200002,17388.8134032,16662.920754500003,15034.390381500001,14126.1767261,13113.8189094,30552.9198887,31600.2824357,32319.1770192,18589.6777417,19662.5354377,20670.3902477,21099.1605405,22619.3626685,24527.4192455,25291.8157947,27143.5308697,28986.1222407,30566.3744367,31526.2428252,33024.8371272
Edmonds,7993.6367092,5528.4533472,4912.5767080000005,2019.496401,0,2436.983696,3747.9859399999996,4532.4461561,6205.2469191,7429.2550811,8298.372486100001,10251.3918491,13014.6877411,14078.514444100001,14729.680069000002,15113.140020200002,16015.011285700002,11361.4749262,13032.623291200001,9252.3041522,8129.614612200001,10302.407334200001,11427.272300200002,12262.550306400002,21751.420611199996,22351.808420799996,20881.867914199996,18867.955337199997,17583.3438272,13298.9841232,14581.916857200002,16483.028246200003,17017.238717800003,15548.602800800001,14643.4243535,13014.8939805,12106.6803251,11094.3225084,28533.423487699998,29580.7860347,30299.6806182,16570.1813407,17643.0390367,18650.8938467,19079.6641395,20599.8662675,22507.9228445,23272.3193937,25124.0344687,26966.6258397,28546.8780357,29506.7464242,31005.3407262
Royal Oak,10430.6204052,7965.4370432,7349.560404,4456.480097,2436.983696,0,1311.002244,2095.4624601,3768.2632231,4992.2713851,5861.3887901,7814.4081531,10577.7040451,11641.5307481,12292.696373,12676.156324200001,13578.027589700001,13798.4586222,15469.6069872,11689.2878482,10566.5983082,12739.3910302,13864.255996200001,14699.534002400002,24188.4043072,24788.7921168,23318.8516102,21304.9390332,20020.3275232,15735.9678192,17018.9005532,16036.900662800002,14580.255021800001,13111.619104800002,12206.440657500001,10577.910284500002,9669.6966291,8657.3388124,26096.4397917,27143.8023387,27862.6969222,14133.197644700002,15206.0553407,16213.910150700001,16642.6804435,18162.882571500002,20070.9391485,20835.3356977,22687.0507727,24529.6421437,26109.8943397,27069.7627282,28568.3570302
Metrotown,11741.622649199999,9276.439287199999,8660.562648,5767.482341,3747.9859399999996,1311.002244,0,784.4602161,2457.2609791,3681.2691411,4550.3865461000005,6503.405909100001,9266.7018011,10330.5285041,10981.694129000001,11365.154080200002,12267.025345700002,15109.4608662,16780.6092312,13000.290092199999,11877.6005522,14050.3932742,15175.2582402,16010.5362464,25499.406551199994,26099.794360799995,24629.853854199995,22615.941277199996,21331.329767199997,17046.9700632,16627.009807800005,14725.898418800003,13269.252777800002,11800.616860800003,10895.438413500002,9266.908040500002,8358.694385100001,7346.336568400001,24785.4375477,25832.8000947,26551.6946782,12822.195400700002,13895.053096700001,14902.907906700002,15331.678199500002,16851.880327500003,18759.936904500002,19524.3334537,21376.0485287,23218.6398997,24798.8920957,25758.7604842,27257.3547862
Patterson,12526.082865299999,10060.8995033,9445.0228641,6551.9425571,4532.4461561,2095.4624601,784.4602161,0,1672.800763,2896.8089250000003,3765.9263300000002,5718.945693000001,8482.241585,9546.068288,10197.233912900001,10580.693864100002,11482.565129600001,15893.9210823,17391.843157699997,13784.7503083,12662.0607683,14834.8534903,15959.718456300001,16794.9964625,26283.866767299995,26884.254576899995,25414.314070299995,23400.401493299996,22115.789983299997,17831.4302793,15842.549591699999,13941.4382027,12484.7925617,11016.1566447,10110.9781974,8482.4478244,7574.234169,6561.876352300001,24000.9773316,25048.3398786,25767.2344621,12037.735184600002,13110.592880600001,14118.447690600002,14547.217983400002,16067.420111400002,17975.476688400002,18739.8732376,20591.5883126,22434.1796836,24014.4318796,24974.3002681,26472.8945701
Joyce–Collingwood,14198.8836283,11733.7002663,11117.8236271,8224.7433201,6205.2469191,3768.2632231,2457.2609791,1672.800763,0,1224.008162,2093.125567,4046.1449300000004,6809.4408220000005,7873.267525,8524.4331499,8907.8931011,9809.7643666,17390.1907597,15719.0423947,15457.5510713,14334.861531300001,16507.6542533,17632.5192193,18467.7972255,27780.136444699994,28380.524254299995,26910.583747699995,24896.671170699996,23612.059660699997,19327.6999567,14169.7488287,12268.6374397,10811.9917987,9343.355881700001,8438.1774344,6809.6470614,5901.433406,4889.0755893000005,22328.1765686,23375.5391156,24094.433699100002,10364.9344216,11437.792117600002,12445.646927600003,12874.417220400002,14394.619348400003,16302.675925400003,17067.0724746,18918.7875496,20761.3789206,22341.6311166,23301.4995051,24800.093807100002
29th Avenue,15422.8917903,12957.7084283,12341.8317891,9448.7514821,7429.2550811,4992.271385100001,3681.2691411000005,2896.8089250000003,1224.008162,0,869.117405,2822.1367680000003,5585.43266,6649.259363,7300.4249879,7683.8849391,8585.7562046,16166.1825977,14495.034232700002,16681.559233300002,15558.869693300001,17731.6624153,18856.527381300002,19691.8053875,26556.128282699996,27156.516092299997,25686.575585699997,23672.663008699998,22388.0514987,18103.6917947,12945.740666700001,11044.629277700002,9587.9836367,8119.3477197,7214.1692724,5585.6388994,4677.425244,3665.0674273000004,21104.168406599998,22151.5309536,22870.4255371,9140.9262596,10213.7839556,11221.6387656,11650.4090584,13170.611186400001,15078.6677634,15843.064312600001,17694.7793876,19537.3707586,21117.6229546,22077.4913431,23576.0856451
Nanaimo,16292.009195300001,13826.825833300001,13210.949194100001,10317.868887100001,8298.372486100001,5861.388790100001,4550.3865461000005,3765.9263300000002,2093.125567,869.117405,0,1953.019363,4716.315255,5780.141958,6431.3075829,6814.7675340999995,7716.638799599999,15297.0651927,13625.9168277,17406.2359667,16427.9870983,18600.779820300002,19725.644786300003,20560.9227925,25687.0108777,26287.3986873,24817.4581807,22803.5456037,21518.9340937,17234.5743897,12076.6232617,10175.5118727,8718.8662317,7250.230314699999,6345.0518673999995,4716.5214944,3808.307839,2795.9500223,20235.0510016,21282.4135486,22001.308132100003,8271.8088546,9344.666550599999,10352.5213606,10781.2916534,12301.4937814,14209.5503584,14973.9469076,16825.661982600002,18668.2533536,20248.505549600002,21208.3739381,22706.968240100003
Commercial–Broadway,18245.0285583,15779.8451963,15163.9685571,12270.8882501,10251.3918491,7814.408153100001,6503.405909100001,5718.945693000001,4046.1449300000004,2822.1367680000003,1953.019363,0,2763.295892,3827.122595,4478.2882199,4861.7481711,5763.6194366,13344.0458297,11672.897464700001,15453.2166037,16575.906143700002,20553.7991833,21678.664149300002,22513.9421555,23733.9915147,24334.3793243,22864.4388177,20850.5262407,19565.914730700002,15281.5550267,10123.603898700001,8222.492509700001,6765.8468687,5297.2109517,4392.0325044,2763.5021314,1855.288476,842.9306593,18282.0316386,19329.394185600002,20048.288769100003,6318.7894916000005,7391.6471876000005,8399.5019976,8828.2722904,10348.474418400001,12256.5309954,13020.927544600001,14872.642619600001,16715.2339906,18295.486186600003,19255.354575100002,20753.948877100003
Main Street–Science World,21008.3244503,18543.1410883,17927.2644491,15034.184142099999,13014.687741099999,10577.7040451,9266.7018011,8482.241585,6809.4408220000005,5585.43266,4716.315255,2763.295892,0,1063.826703,1714.9923279,2098.4522791,3000.3235446,16107.341721699999,14436.1933567,18216.5124957,19339.2020357,23317.0950753,24441.9600413,25277.2380475,26497.287406699994,27097.675216299995,25627.734709699995,23613.822132699996,22329.210622699997,18044.850918699998,12886.8997907,10985.7884017,9529.1427607,8060.5068437,7155.3283964,5526.7980234,4618.584368,3606.2265513,15518.7357466,16566.0982936,17284.9928771,3555.4935996,4628.3512955999995,5636.206105599999,6064.976398399999,7585.178526399999,9493.235103399998,10257.6316526,12109.3467276,13951.9380986,15532.1902946,16492.0586831,17990.6529851
Stadium–Chinatown,22072.1511533,19606.9677913,18991.0911521,16098.0108451,14078.5144441,11641.5307481,10330.5285041,9546.068288,7873.267525,6649.259363,5780.141958,3827.122595,1063.826703,0,651.1656249,1034.6255761,1936.4968416000002,17171.168424699998,15500.020059699998,19280.3391987,20403.0287387,24380.921778300002,25505.786744300003,26341.0647505,27561.114109699993,28161.501919299993,26691.561412699994,24677.648835699994,23393.037325699996,19108.677621699997,13950.726493699998,12049.615104699998,10592.9694637,9124.3335467,8219.155099399999,6590.624726399999,5682.4110709999995,4670.0532543,14454.9090436,15502.271590600001,16221.1661741,2491.6668966,3564.5245926000002,4572.3794026000005,5001.1496954,6521.3518234,8429.4084004,9193.8049496,11045.5200246,12888.1113956,14468.3635916,15428.231980100001,16926.826282100003
